epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7167,1.76432,3.36916,1.84998,0.23594,0.44541,0.26844,0.10811,2.05213,3.98434,2.14643,0.000332347,0.000332347,0.000332347
2,133.116,1.72852,2.58144,1.81334,0.54406,0.49184,0.41398,0.1879,1.87946,2.9971,2.04329,0.0006525,0.0006525,0.0006525
3,196.824,1.71193,2.42747,1.82286,0.55005,0.47395,0.44936,0.21347,1.83266,2.76613,1.98894,0.000959453,0.000959453,0.000959453
4,260.125,1.67778,2.24635,1.78313,0.63524,0.40127,0.46287,0.21548,1.78979,2.38677,1.96934,0.0009406,0.0009406,0.0009406
5,324.07,1.63782,2.10708,1.75147,0.39199,0.51215,0.44964,0.20298,1.85203,2.43915,1.97705,0.0009208,0.0009208,0.0009208
6,387.365,1.61056,2.02975,1.72546,0.58165,0.56286,0.53721,0.25059,1.69779,2.23305,1.85053,0.000901,0.000901,0.000901
7,450.94,1.58674,1.93268,1.70347,0.61655,0.52097,0.53979,0.26079,1.67831,2.03869,1.84681,0.0008812,0.0008812,0.0008812
8,514.439,1.56773,1.89226,1.69553,0.50867,0.57893,0.5241,0.25148,1.69631,1.92732,1.8973,0.0008614,0.0008614,0.0008614
9,577.919,1.56746,1.8746,1.69004,0.44115,0.62569,0.58716,0.28429,1.69201,1.80916,1.83332,0.0008416,0.0008416,0.0008416
10,641.295,1.50694,1.79759,1.62932,0.65563,0.55743,0.60671,0.2892,1.65318,1.79986,1.8137,0.0008218,0.0008218,0.0008218
11,704.395,1.51489,1.77778,1.65695,0.77396,0.50997,0.61319,0.30944,1.62482,1.73939,1.80925,0.000802,0.000802,0.000802
12,767.744,1.50014,1.72308,1.64908,0.52813,0.62977,0.62327,0.29517,1.68031,1.83001,1.85671,0.0007822,0.0007822,0.0007822
13,830.549,1.50063,1.7,1.62555,0.62192,0.57888,0.63312,0.31462,1.65323,1.68438,1.81746,0.0007624,0.0007624,0.0007624
14,895.187,1.48568,1.69143,1.63354,0.54476,0.63086,0.65194,0.30767,1.66563,1.66276,1.85484,0.0007426,0.0007426,0.0007426
15,962.926,1.46085,1.6585,1.61214,0.53573,0.6815,0.6773,0.3358,1.59485,1.63699,1.78311,0.0007228,0.0007228,0.0007228
16,1028.16,1.47329,1.65103,1.61891,0.59566,0.58481,0.63259,0.32029,1.61818,1.58598,1.75414,0.000703,0.000703,0.000703
17,1092.2,1.43833,1.60229,1.58575,0.6068,0.64325,0.66855,0.32089,1.67526,1.61076,1.82348,0.0006832,0.0006832,0.0006832
18,1156.19,1.46768,1.59971,1.61155,0.63417,0.61107,0.67247,0.33577,1.66871,1.59727,1.83138,0.0006634,0.0006634,0.0006634
19,1221.33,1.44332,1.5778,1.5931,0.63263,0.67978,0.68039,0.34767,1.58592,1.46795,1.78214,0.0006436,0.0006436,0.0006436
20,1284.93,1.45813,1.57949,1.6073,0.58059,0.63136,0.63954,0.32892,1.62623,1.54319,1.80522,0.0006238,0.0006238,0.0006238
21,1348.98,1.44427,1.5731,1.60457,0.80434,0.58329,0.70771,0.36738,1.55559,1.44237,1.72883,0.000604,0.000604,0.000604
22,1413.2,1.42991,1.56944,1.5831,0.61701,0.66669,0.68111,0.36637,1.57172,1.45342,1.74477,0.0005842,0.0005842,0.0005842
23,1478.32,1.40245,1.50109,1.56158,0.79649,0.57644,0.67923,0.3565,1.57603,1.45956,1.71784,0.0005644,0.0005644,0.0005644
24,1544.58,1.401,1.50004,1.57,0.62384,0.6321,0.68096,0.37034,1.53853,1.48554,1.69134,0.0005446,0.0005446,0.0005446
25,1610.96,1.38239,1.47492,1.55418,0.58623,0.70613,0.69451,0.36553,1.56115,1.4121,1.72918,0.0005248,0.0005248,0.0005248
26,1676.79,1.38885,1.46094,1.54915,0.65039,0.68928,0.71101,0.37431,1.5586,1.39218,1.67841,0.000505,0.000505,0.000505
27,1740.34,1.40346,1.4229,1.54234,0.6336,0.66868,0.71119,0.37631,1.56685,1.38181,1.68725,0.0004852,0.0004852,0.0004852
28,1804.13,1.37698,1.42464,1.54735,0.67525,0.67264,0.7123,0.386,1.52697,1.38399,1.65275,0.0004654,0.0004654,0.0004654
29,1870.59,1.34703,1.41131,1.52882,0.59967,0.68776,0.70474,0.36981,1.53668,1.39554,1.70552,0.0004456,0.0004456,0.0004456
30,1935.07,1.34206,1.40203,1.5226,0.68662,0.70178,0.72599,0.38489,1.52372,1.36226,1.67721,0.0004258,0.0004258,0.0004258
31,2001.1,1.33106,1.38656,1.50883,0.62604,0.68155,0.70856,0.37959,1.49978,1.3757,1.67001,0.000406,0.000406,0.000406
32,2066.84,1.34772,1.39451,1.53223,0.63451,0.65576,0.70894,0.38325,1.52701,1.39378,1.66687,0.0003862,0.0003862,0.0003862
33,2131.01,1.38172,1.421,1.54014,0.67106,0.67659,0.72976,0.38968,1.51573,1.33675,1.6829,0.0003664,0.0003664,0.0003664
34,2194.99,1.3498,1.3632,1.52437,0.62639,0.69204,0.72163,0.39386,1.5249,1.32755,1.66375,0.0003466,0.0003466,0.0003466
35,2259.28,1.33306,1.3559,1.51531,0.67216,0.68562,0.73064,0.39992,1.49665,1.34139,1.66267,0.0003268,0.0003268,0.0003268
36,2323.56,1.30874,1.34743,1.49146,0.71112,0.63567,0.71864,0.40381,1.4869,1.32704,1.63237,0.000307,0.000307,0.000307
37,2386.63,1.31146,1.31265,1.48507,0.6302,0.69447,0.70697,0.38134,1.54638,1.35004,1.67274,0.0002872,0.0002872,0.0002872
38,2449.76,1.30134,1.29959,1.48487,0.65669,0.6911,0.72983,0.40734,1.47784,1.3052,1.63701,0.0002674,0.0002674,0.0002674
39,2512.49,1.30395,1.31495,1.49285,0.69003,0.69175,0.72979,0.4044,1.47595,1.3165,1.63424,0.0002476,0.0002476,0.0002476
40,2575.68,1.3142,1.30852,1.49361,0.69613,0.68242,0.72004,0.39596,1.4855,1.30945,1.6256,0.0002278,0.0002278,0.0002278
41,2664.47,1.34874,1.31514,1.56864,0.63211,0.72287,0.72519,0.40502,1.49516,1.30771,1.64128,0.000208,0.000208,0.000208
42,2727.45,1.29036,1.23866,1.51332,0.66769,0.68835,0.72666,0.41534,1.46637,1.27272,1.61394,0.0001882,0.0001882,0.0001882
43,2790.19,1.30767,1.23846,1.54648,0.65575,0.72189,0.73509,0.41179,1.47262,1.25179,1.63254,0.0001684,0.0001684,0.0001684
44,2852.82,1.3007,1.22038,1.53479,0.71622,0.70028,0.75246,0.41577,1.47021,1.25769,1.62094,0.0001486,0.0001486,0.0001486
45,2916.65,1.29214,1.20378,1.52378,0.69874,0.70467,0.75363,0.42915,1.44656,1.23039,1.5875,0.0001288,0.0001288,0.0001288
46,2978.96,1.28528,1.19505,1.51731,0.69026,0.70516,0.74634,0.4211,1.45328,1.24154,1.59755,0.000109,0.000109,0.000109
47,3042.2,1.25567,1.17028,1.50303,0.68636,0.71262,0.75174,0.43118,1.45397,1.21919,1.59494,8.92e-05,8.92e-05,8.92e-05
48,3104.7,1.25393,1.15262,1.4935,0.7109,0.68902,0.74691,0.42942,1.45319,1.22162,1.59619,6.94e-05,6.94e-05,6.94e-05
49,3166.95,1.25433,1.12228,1.49841,0.71238,0.69203,0.75903,0.44186,1.44204,1.19289,1.58737,4.96e-05,4.96e-05,4.96e-05
50,3229.86,1.24013,1.13142,1.47949,0.7151,0.69868,0.75181,0.43509,1.43536,1.19617,1.58793,2.98e-05,2.98e-05,2.98e-05
