epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2750.06,1.35203,1.37988,1.52443,0.76807,0.60499,0.70099,0.37812,1.53754,1.37417,1.69404,0.0005941,0.0005941,0.0005941
43,2816.34,1.35776,1.38245,1.52919,0.61698,0.67165,0.70377,0.39016,1.51557,1.34551,1.69526,0.0005842,0.0005842,0.0005842
44,2881.43,1.35678,1.37848,1.53834,0.68154,0.64238,0.69514,0.37398,1.56143,1.38678,1.74706,0.0005743,0.0005743,0.0005743
45,2944.97,1.33243,1.34279,1.51643,0.63233,0.67107,0.68475,0.37978,1.5636,1.3391,1.71002,0.0005644,0.0005644,0.0005644
46,3009.75,1.3713,1.38097,1.53251,0.6279,0.67009,0.70594,0.38509,1.54391,1.34394,1.7177,0.0005545,0.0005545,0.0005545
47,3074.13,1.31943,1.35283,1.50261,0.65049,0.67576,0.71658,0.39057,1.55526,1.31191,1.68758,0.0005446,0.0005446,0.0005446
48,3137.7,1.33511,1.33644,1.51267,0.60419,0.71118,0.71362,0.39885,1.55037,1.3239,1.71389,0.0005347,0.0005347,0.0005347
49,3202.15,1.34083,1.35001,1.50976,0.60893,0.70777,0.71542,0.39143,1.52774,1.31006,1.70139,0.0005248,0.0005248,0.0005248
50,3265.78,1.33712,1.32401,1.51132,0.65979,0.68003,0.70429,0.39175,1.51706,1.35149,1.67214,0.0005149,0.0005149,0.0005149
51,3328.59,1.34183,1.32134,1.52049,0.67424,0.68549,0.71613,0.39929,1.51906,1.30292,1.65627,0.000505,0.000505,0.000505
52,3392.24,1.31159,1.3026,1.50017,0.6459,0.69111,0.72316,0.40092,1.50235,1.27366,1.64482,0.0004951,0.0004951,0.0004951
53,3455.22,1.32121,1.31326,1.49559,0.61795,0.67996,0.69995,0.3823,1.5408,1.35648,1.66639,0.0004852,0.0004852,0.0004852
54,3518.53,1.3172,1.28718,1.49582,0.66546,0.71245,0.73312,0.4019,1.51311,1.27853,1.6604,0.0004753,0.0004753,0.0004753
55,3582.02,1.31234,1.30149,1.49472,0.65996,0.69659,0.72317,0.39571,1.53672,1.28437,1.70309,0.0004654,0.0004654,0.0004654
56,3645.49,1.32382,1.30237,1.49531,0.66634,0.6862,0.6953,0.36111,1.68358,1.36063,1.76478,0.0004555,0.0004555,0.0004555
57,3708.35,1.32208,1.31058,1.49603,0.66104,0.71175,0.73503,0.4088,1.4946,1.25831,1.65866,0.0004456,0.0004456,0.0004456
58,3771.2,1.29519,1.26662,1.47258,0.68191,0.70386,0.72993,0.41185,1.50273,1.23688,1.65997,0.0004357,0.0004357,0.0004357
59,3834.39,1.30938,1.27129,1.48449,0.66714,0.70603,0.73215,0.40727,1.49766,1.27188,1.66189,0.0004258,0.0004258,0.0004258
60,3897.05,1.28934,1.27003,1.49218,0.7053,0.70441,0.75925,0.41773,1.48547,1.24772,1.65093,0.0004159,0.0004159,0.0004159
61,3959.48,1.31828,1.27924,1.49489,0.67602,0.7157,0.74049,0.40799,1.51167,1.26056,1.65272,0.000406,0.000406,0.000406
62,4022.72,1.30442,1.28311,1.49182,0.67341,0.70351,0.74508,0.42124,1.48007,1.22924,1.64548,0.0003961,0.0003961,0.0003961
63,4085.69,1.30316,1.26918,1.48933,0.67271,0.71346,0.72875,0.40532,1.50536,1.26901,1.64782,0.0003862,0.0003862,0.0003862
64,4148.5,1.2724,1.22621,1.46857,0.66076,0.71094,0.72319,0.40654,1.52045,1.26471,1.65214,0.0003763,0.0003763,0.0003763
65,4212.58,1.27516,1.23322,1.47391,0.66819,0.69207,0.71366,0.40406,1.52387,1.25343,1.65651,0.0003664,0.0003664,0.0003664
66,4275.48,1.29547,1.25214,1.48987,0.60265,0.72423,0.71694,0.41277,1.48223,1.2563,1.63037,0.0003565,0.0003565,0.0003565
67,4338.44,1.27203,1.21775,1.45727,0.67879,0.71869,0.73808,0.41749,1.48832,1.22682,1.63407,0.0003466,0.0003466,0.0003466
68,4402.23,1.27429,1.21419,1.46452,0.63885,0.74693,0.72483,0.40898,1.50314,1.239,1.63964,0.0003367,0.0003367,0.0003367
69,4466.24,1.23988,1.19988,1.4371,0.63484,0.71024,0.72691,0.41917,1.4662,1.2378,1.61774,0.0003268,0.0003268,0.0003268
70,4529.81,1.25704,1.20896,1.44203,0.64948,0.7284,0.7438,0.41941,1.48978,1.21683,1.63296,0.0003169,0.0003169,0.0003169
71,4593.52,1.25898,1.19782,1.45015,0.67931,0.72804,0.75927,0.42789,1.46731,1.20371,1.62243,0.000307,0.000307,0.000307
72,4656.45,1.26756,1.19173,1.45527,0.65705,0.73456,0.74356,0.42977,1.45922,1.20274,1.60369,0.0002971,0.0002971,0.0002971
73,4718.99,1.2734,1.20472,1.46414,0.64001,0.72904,0.74271,0.41743,1.48579,1.19853,1.62773,0.0002872,0.0002872,0.0002872
74,4782.54,1.2524,1.19205,1.43953,0.65904,0.74324,0.74431,0.42055,1.4787,1.21958,1.62545,0.0002773,0.0002773,0.0002773
75,4845.4,1.25149,1.19587,1.45695,0.67289,0.72681,0.74008,0.42123,1.47804,1.20773,1.63399,0.0002674,0.0002674,0.0002674
76,4908.71,1.26127,1.18762,1.45206,0.64001,0.72499,0.7187,0.41643,1.46776,1.22868,1.62181,0.0002575,0.0002575,0.0002575
