epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9412,1.76432,3.36916,1.84998,0.23594,0.44541,0.26844,0.10811,2.05213,3.98434,2.14643,0.000332347,0.000332347,0.000332347
2,135.529,1.71487,2.57029,1.79584,0.37858,0.52531,0.39216,0.17574,1.82647,4.15672,2.00033,0.000533876,0.000533876,0.000533876
3,201.88,1.6604,2.36692,1.77689,0.59673,0.52395,0.5374,0.24223,1.69901,2.53509,1.85397,0.000603404,0.000603404,0.000603404
4,268.916,1.59952,2.15077,1.71274,0.40744,0.623,0.55523,0.26451,1.69441,2.41237,1.86768,0.000406,0.000406,0.000406
5,334.87,1.5201,2.01426,1.6611,0.52441,0.62755,0.59122,0.30274,1.60049,2.40406,1.76382,0.000208,0.000208,0.000208
